,id,NB,LR,VD
0,801989080477154944,neutral,neutral,neutral
1,801989272341453952,positive,positive,positive
2,801990978424962944,neutral,neutral,neutral
3,801996232553963008,positive,positive,positive
4,801998343442407040,positive,positive,neutral
5,802001659970744064,positive,neutral,neutral
6,802003380973568000,positive,negative,neutral
7,802014830467174016,positive,positive,neutral
8,802020578609623040,positive,neutral,neutral
9,802021059490934016,neutral,neutral,neutral
10,802021122384523008,neutral,neutral,neutral
11,802022296818880000,neutral,neutral,neutral
12,802022559520673024,neutral,neutral,neutral
13,802022965743415040,neutral,neutral,neutral
14,802024079851069056,neutral,positive,neutral
15,802024085777629056,neutral,positive,positive
16,802024981638958976,neutral,positive,neutral
17,802026442687217024,neutral,neutral,neutral
18,802028835013206016,neutral,positive,neutral
19,802028852180462976,positive,neutral,neutral
20,802030814246489984,neutral,neutral,positive
21,802032149885026048,positive,positive,positive
22,802032523152718976,neutral,neutral,neutral
23,802041485948555008,positive,positive,neutral
24,802042842096902016,positive,positive,positive
25,802045545992723968,positive,neutral,neutral
26,802045726318587008,neutral,neutral,neutral
27,802198774114385024,negative,neutral,negative
28,802198896474803968,negative,neutral,neutral
29,802198916489874944,negative,negative,negative
30,802198916594887936,negative,negative,neutral
31,802199118030343936,negative,neutral,neutral
32,802199636987416064,negative,neutral,neutral
33,802199759872109952,negative,positive,positive
34,802202968527252992,negative,positive,neutral
35,802203076522364032,negative,negative,negative
36,802203170923548032,negative,neutral,neutral
37,802203261923115008,negative,negative,neutral
38,802203369007943040,negative,negative,neutral
39,802203384904354944,negative,positive,neutral
40,802203403560647936,negative,negative,neutral
41,802203468991778048,negative,neutral,neutral
42,802203610230553984,negative,negative,negative
43,802203612348873984,negative,negative,neutral
44,802203665243185024,negative,negative,negative
45,802203689549171968,negative,positive,positive
46,802203741571128960,negative,positive,neutral
47,802203803047133056,negative,positive,positive
48,802203906319286016,negative,positive,neutral
49,802204024355187968,negative,neutral,neutral
50,802204103942151936,negative,neutral,neutral
51,802204252445798016,negative,positive,neutral
52,802204455768850048,negative,neutral,neutral
53,802204569300152064,negative,positive,positive
54,802204634647384064,neutral,positive,neutral
55,802205360383787008,positive,neutral,neutral
56,802205508203662976,neutral,positive,neutral
57,802205564914777984,negative,negative,neutral
58,802205662541398016,negative,neutral,negative
59,802205704648097024,negative,negative,neutral
60,802205825838279936,negative,negative,positive
61,802205853134765952,negative,neutral,neutral
62,802205874492043008,negative,neutral,neutral
63,802205887905591040,negative,neutral,neutral
64,802206014691020032,negative,positive,neutral
65,802206015978672000,negative,positive,neutral
66,802206104180637056,negative,negative,negative
67,802206201647746944,negative,neutral,neutral
68,802206234417905024,positive,positive,neutral
69,802206408045260032,negative,positive,positive
70,802206610764377984,negative,neutral,negative
71,802207113632185984,negative,positive,negative
72,802207175208800000,negative,negative,negative
73,802207179428204032,negative,negative,neutral
74,802207190002139008,negative,neutral,neutral
75,802207204317233024,negative,negative,neutral
76,802207213737671936,negative,neutral,neutral
77,802207249879932032,negative,negative,neutral
78,802207556626222976,negative,negative,positive
79,802212306738417024,negative,neutral,positive
80,802212708623842944,negative,negative,neutral
81,802213029198920960,negative,negative,negative
82,802213224066190976,negative,negative,neutral
83,802213440240552960,negative,neutral,positive
84,802213846144274048,negative,negative,negative
85,802213912204680960,negative,negative,neutral
86,802213993494375936,neutral,positive,neutral
87,802214153133886976,neutral,neutral,neutral
88,802214366397558016,negative,negative,neutral
89,802214371418115968,negative,negative,negative
90,802214451747453952,negative,negative,neutral
91,802214725341691008,negative,negative,negative
92,802214731381672960,positive,neutral,neutral
93,802215095153623040,negative,positive,negative
94,802215107057041024,negative,neutral,neutral
95,802215268449718016,negative,negative,neutral
96,802215648575229056,negative,neutral,neutral
97,802215749976604032,neutral,positive,positive
98,802215881187201024,positive,positive,positive
99,802216154911612032,negative,neutral,neutral
100,802216251661680000,positive,neutral,negative
101,802216317516450944,negative,positive,neutral
102,801750589302509056,negative,negative,neutral
103,801750657837436032,positive,positive,positive
104,801750933168393984,negative,positive,neutral
105,801750989221063936,neutral,positive,positive
106,801751013682253056,neutral,neutral,negative
107,801751398010514944,positive,neutral,neutral
108,801759588362178048,negative,neutral,neutral
109,801764802427318016,neutral,neutral,neutral
110,801779996758969984,positive,neutral,neutral
111,801782055382171008,positive,neutral,neutral
112,801783280542456960,positive,neutral,neutral
113,801784472496701056,neutral,neutral,neutral
114,801795646718177024,positive,neutral,neutral
115,801798946918203008,positive,neutral,neutral
116,801802253241724032,negative,positive,neutral
117,801805701475613952,positive,positive,neutral
118,801811056557490048,positive,positive,neutral
119,801811450847264000,positive,neutral,neutral
120,801815976970894976,positive,positive,neutral
121,801817700125330944,negative,neutral,negative
122,801818135347203968,positive,positive,neutral
123,801818220567129984,positive,positive,positive
124,801821040804404992,negative,neutral,neutral
125,801830569944449024,positive,positive,neutral
126,801836377382013952,neutral,neutral,neutral
127,801851639091101056,neutral,positive,neutral
128,801854828347608960,positive,positive,positive
129,801857015844839040,positive,positive,neutral
130,801857125219757952,positive,positive,positive
131,801857751966171008,positive,positive,neutral
132,801858233036054016,negative,positive,positive
133,801859282279005952,negative,neutral,neutral
134,801862090189197056,negative,neutral,positive
135,801862550367469056,negative,positive,positive
136,801869764842941952,positive,positive,positive
137,801871916000833024,negative,positive,positive
138,801878842021478016,positive,positive,neutral
139,801879467140481024,positive,neutral,neutral
140,801880278067200000,negative,positive,neutral
141,801880817115032960,positive,positive,neutral
142,801889467841858944,positive,positive,neutral
143,801895766784621952,negative,positive,positive
144,801900512832551936,negative,neutral,neutral
145,801902936632737024,positive,positive,neutral
146,801905337708276992,neutral,neutral,neutral
147,801907502870887936,neutral,neutral,neutral
148,801907904353804032,neutral,positive,neutral
149,801920862517661056,positive,neutral,neutral
150,801934318834774016,positive,positive,positive
151,801945713328397952,positive,positive,neutral
152,801946582967009024,negative,neutral,neutral
153,801948645163761024,negative,neutral,neutral
154,801950568243691008,positive,positive,positive
155,801982534292802944,neutral,positive,neutral
156,801982623409180032,positive,positive,neutral
157,802013515603185024,negative,neutral,neutral
158,802041514222291968,positive,positive,neutral
159,802052968581394048,positive,positive,neutral
160,802061131061792000,neutral,neutral,neutral
161,802068100153831040,neutral,positive,positive
162,802075807585860992,neutral,neutral,neutral
163,802088970284843008,positive,positive,positive
164,802090812276240000,neutral,positive,neutral
165,802097083117288960,positive,neutral,neutral
166,802101252511453056,neutral,neutral,neutral
167,802108427921214976,positive,positive,neutral
168,802108876833389952,neutral,neutral,neutral
169,802111887068557056,positive,positive,neutral
170,802113372246436992,positive,neutral,neutral
171,802117450024307968,neutral,neutral,neutral
172,802124387382136064,positive,neutral,neutral
173,802128485930168064,positive,positive,neutral
174,802146151919067008,negative,neutral,neutral
175,802149239891447040,positive,positive,neutral
176,802149295872883968,neutral,neutral,neutral
177,802149489494487040,positive,positive,neutral
178,802149538093927936,positive,positive,neutral
179,802149630163042048,positive,positive,neutral
180,802149662891200000,neutral,positive,positive
181,802149772651949952,neutral,neutral,neutral
182,802149835210046976,positive,positive,neutral
183,802149851320302976,neutral,neutral,neutral
184,802158637724658944,neutral,neutral,positive
185,802162923242225024,negative,neutral,neutral
186,802167241211079936,negative,neutral,neutral
187,802168507924365056,positive,neutral,neutral
188,802171548723515008,positive,positive,neutral
189,802172793819368960,positive,neutral,neutral
190,802177969670279040,negative,negative,neutral
191,802184577431272960,negative,neutral,neutral
192,802194923864910976,negative,negative,neutral
193,802197253536574976,positive,positive,neutral
194,802198910466924032,positive,positive,positive
195,802199181100273024,negative,neutral,neutral
196,802200477211430016,negative,positive,positive
197,802200709160647936,neutral,positive,positive
198,802202456079944960,positive,neutral,neutral
199,802204019385101952,negative,neutral,neutral
200,802206960074505984,positive,positive,neutral
201,802214573537431040,neutral,neutral,neutral
202,800600575419170048,negative,neutral,neutral
203,800602294181969024,neutral,neutral,neutral
204,800633765668061056,negative,neutral,neutral
205,800683076661682048,negative,neutral,neutral
206,800697953820311040,positive,positive,neutral
207,800706345406237952,negative,neutral,neutral
208,800707269457494016,negative,positive,neutral
